Iteration   157 | Cost: 4.744772e-01
Iteration   158 | Cost: 4.744772e-01
Iteration   159 | Cost: 4.744772e-01
Iteration   160 | Cost: 4.744772e-01
Iteration   161 | Cost: 4.744772e-01
Iteration   162 | Cost: 4.744772e-01
Iteration   163 | Cost: 4.744772e-01
Iteration   164 | Cost: 4.744772e-01
Iteration   165 | Cost: 4.744772e-01
Iteration   166 | Cost: 4.744772e-01
Iteration   167 | Cost: 4.744772e-01
Iteration   168 | Cost: 4.744772e-01
Iteration   169 | Cost: 4.744772e-01
Iteration   170 | Cost: 4.744772e-01
Iteration   171 | Cost: 4.744772e-01
Iteration   172 | Cost: 4.744772e-01
Iteration   173 | Cost: 4.744772e-01
Iteration   174 | Cost: 4.744772e-01
Iteration   175 | Cost: 4.744772e-01
Iteration   176 | Cost: 4.744772e-01
Iteration   177 | Cost: 4.744772e-01
Iteration   178 | Cost: 4.744772e-01
Iteration   179 | Cost: 4.744772e-01
Iteration   180 | Cost: 4.744772e-01
Iteration   181 | Cost: 4.744772e-01
Iteration   182 | Cost: 4.744772e-01
Iteration   183 | Cost: 4.744772e-01
Iteration   184 | Cost: 4.744772e-01
Iteration   185 | Cost: 4.744772e-01
Iteration   186 | Cost: 4.744772e-01
Iteration   187 | Cost: 4.744772e-01
Iteration   188 | Cost: 4.744772e-01
Iteration   189 | Cost: 4.744772e-01
Iteration   190 | Cost: 4.744772e-01
Iteration   191 | Cost: 4.744772e-01
Iteration   192 | Cost: 4.744772e-01
Iteration   193 | Cost: 4.744772e-01
Iteration   194 | Cost: 4.744772e-01
Iteration   195 | Cost: 4.744772e-01
Iteration   196 | Cost: 4.744772e-01
Iteration   197 | Cost: 4.744772e-01
Iteration   198 | Cost: 4.744772e-01
Iteration   199 | Cost: 4.744772e-01
Iteration   200 | Cost: 4.744772e-01

Iteration     1 | Cost: 5.931808e+01
Iteration     2 | Cost: 2.960634e+00
Iteration     3 | Cost: 1.702427e+00
Iteration     4 | Cost: 1.638442e+00
Iteration     5 | Cost: 1.560741e+00
Iteration     6 | Cost: 1.481678e+00
Iteration     7 | Cost: 1.390579e+00
Iteration     8 | Cost: 1.260341e+00
Iteration     9 | Cost: 1.181704e+00
Iteration    10 | Cost: 8.653975e-01
Iteration    11 | Cost: 8.162623e-01
Iteration    12 | Cost: 8.005475e-01
Iteration    13 | Cost: 7.915224e-01
Iteration    14 | Cost: 7.859178e-01
Iteration    15 | Cost: 7.687537e-01
Iteration    16 | Cost: 7.640133e-01
Iteration    17 | Cost: 7.575386e-01
Iteration    18 | Cost: 7.460861e-01
Iteration    19 | Cost: 7.362283e-01
Iteration    20 | Cost: 7.260704e-01
Iteration    21 | Cost: 7.202537e-01
Iteration    22 | Cost: 7.185352e-01
Iteration    23 | Cost: 7.127405e-01
Iteration    24 | Cost: 7.094877e-01
Iteration    25 | Cost: 7.092966e-01
Iteration    26 | Cost: 7.084495e-01
Iteration    27 | Cost: 7.069236e-01
Iteration    28 | Cost: 7.049921e-01
Iteration    29 | Cost: 6.994817e-01
Iteration    30 | Cost: 6.973395e-01
Iteration    31 | Cost: 6.929056e-01
Iteration    32 | Cost: 6.908806e-01
Iteration    33 | Cost: 6.857091e-01
Iteration    34 | Cost: 6.800769e-01
Iteration    35 | Cost: 6.799826e-01
Iteration    36 | Cost: 6.796550e-01
Iteration    37 | Cost: 6.790865e-01
Iteration    38 | Cost: 6.771653e-01
Iteration    39 | Cost: 6.762294e-01
Iteration    40 | Cost: 6.749897e-01
Iteration    41 | Cost: 6.749130e-01
Iteration    42 | Cost: 6.746782e-01
Iteration    43 | Cost: 6.745436e-01
Iteration    44 | Cost: 6.742543e-01
Iteration    45 | Cost: 6.738635e-01
Iteration    46 | Cost: 6.728543e-01
